"","dt_evoluca","N","Cum"
"1",2020-03-15,1,1
"2",2020-03-16,3,4
"3",2020-03-17,4,8
"4",2020-03-18,8,16
"5",2020-03-19,10,26
"6",2020-03-20,18,44
"7",2020-03-21,15,59
"8",2020-03-22,20,79
"9",2020-03-23,36,115
"10",2020-03-24,37,152
"11",2020-03-25,40,192
"12",2020-03-26,54,246
"13",2020-03-27,62,308
"14",2020-03-28,74,382
"15",2020-03-29,70,452
"16",2020-03-30,92,544
"17",2020-03-31,116,660
"18",2020-04-01,114,774
"19",2020-04-02,134,908
"20",2020-04-03,161,1069
"21",2020-04-04,176,1245
"22",2020-04-05,186,1431
"23",2020-04-06,176,1607
"24",2020-04-07,211,1818
"25",2020-04-08,192,2010
"26",2020-04-09,195,2205
"27",2020-04-10,245,2450
"28",2020-04-11,237,2687
"29",2020-04-12,280,2967
"30",2020-04-13,302,3269
"31",2020-04-14,266,3535
"32",2020-04-15,328,3863
"33",2020-04-16,334,4197
"34",2020-04-17,344,4541
"35",2020-04-18,368,4909
"36",2020-04-19,416,5325
"37",2020-04-20,454,5779
"38",2020-04-21,445,6224
"39",2020-04-22,540,6764
"40",2020-04-23,561,7325
"41",2020-04-24,584,7909
"42",2020-04-25,625,8534
"43",2020-04-26,635,9169
"44",2020-04-27,672,9841
"45",2020-04-28,732,10573
"46",2020-04-29,747,11320
"47",2020-04-30,753,12073
"48",2020-05-01,728,12801
"49",2020-05-02,737,13538
"50",2020-05-03,768,14306
"51",2020-05-04,813,15119
"52",2020-05-05,841,15960
"53",2020-05-06,788,16748
"54",2020-05-07,798,17546
"55",2020-05-08,830,18376
"56",2020-05-09,834,19210
"57",2020-05-10,815,20025
"58",2020-05-11,836,20861
"59",2020-05-12,852,21713
"60",2020-05-13,848,22561
"61",2020-05-14,880,23441
"62",2020-05-15,809,24250
"63",2020-05-16,832,25082
"64",2020-05-17,852,25934
"65",2020-05-18,866,26800
"66",2020-05-19,847,27647
"67",2020-05-20,791,28438
"68",2020-05-21,826,29264
"69",2020-05-22,875,30139
"70",2020-05-23,799,30938
"71",2020-05-24,727,31665
"72",2020-05-25,853,32518
"73",2020-05-26,711,33229
"74",2020-05-27,747,33976
"75",2020-05-28,720,34696
"76",2020-05-29,756,35452
"77",2020-05-30,696,36148
"78",2020-05-31,645,36793
"79",2020-06-01,699,37492
"80",2020-06-02,679,38171
"81",2020-06-03,661,38832
"82",2020-06-04,649,39481
"83",2020-06-05,603,40084
"84",2020-06-06,667,40751
"85",2020-06-07,565,41316
"86",2020-06-08,593,41909
"87",2020-06-09,581,42490
"88",2020-06-10,546,43036
"89",2020-06-11,550,43586
"90",2020-06-12,559,44145
"91",2020-06-13,548,44693
"92",2020-06-14,486,45179
"93",2020-06-15,533,45712
"94",2020-06-16,480,46192
"95",2020-06-17,483,46675
"96",2020-06-18,452,47127
"97",2020-06-19,329,47456
"98",2020-06-20,366,47822
"99",2020-06-21,325,48147
"100",2020-06-22,239,48386
"101",2020-06-23,66,48452
"102",NA,368,48820
