"","atraso","mean","lower","upper"
"1",0,0.0915591997289378,0.0892265095828809,0.0938139529086667
"2",1,0.171211178210525,0.167504716222843,0.1745578475822
"3",2,0.21794405565482,0.213409417205043,0.221739932749617
"4",3,0.255366248394919,0.250495778177564,0.259677507724613
"5",4,0.286687396810782,0.281485236049757,0.291282262921164
"6",5,0.311786446088833,0.306115071088929,0.316577818807663
"7",6,0.334842358065256,0.328764012253292,0.339779434738391
"8",7,0.355083534776406,0.348452501077839,0.360340275234606
"9",8,0.373178352133739,0.366121541110198,0.378619651836724
"10",9,0.390479860663011,0.383297149105103,0.396212772024323
"11",10,0.405905354110977,0.398771823814261,0.411579143232943
"12",11,0.420850361253716,0.413624396603461,0.42677334711793
"13",12,0.435544711874694,0.427880621515977,0.441623564055663
"14",13,0.449737405341667,0.441808792944793,0.456147273597102
"15",14,0.46290294586128,0.454842026252513,0.469350017378413
"16",15,0.476360326667066,0.468239993238897,0.483183811921636
"17",16,0.488731069437718,0.48047526024764,0.495773811154274
"18",17,0.501035215642593,0.492420004685674,0.508446161940865
"19",18,0.512662173186799,0.503986737604956,0.519914614623829
"20",19,0.524309108773067,0.515556019535144,0.531531599986042
"21",20,0.534926615955629,0.525899290680866,0.542357955753564
"22",21,0.546808340830752,0.53770829518904,0.554407882315336
"23",22,0.558900303694187,0.549660657052223,0.566516888280957
"24",23,0.568853401513295,0.55942321860349,0.576470515367639
"25",24,0.57885892306518,0.569375269390193,0.586655275636104
"26",25,0.588320297509996,0.578752061072227,0.596019863101248
"27",26,0.597805350163936,0.58801642622784,0.606010203476552
"28",27,0.606182891522269,0.59642741300853,0.614585692589934
"29",28,0.614409513466707,0.604718340622118,0.622710298520334
"30",29,0.62294067674594,0.613219210303203,0.631353690974864
"31",30,0.630949613290678,0.620832732757447,0.639166512673883
"32",31,0.639485222772011,0.6293972849474,0.647427091023451
"33",32,0.646893826361138,0.636937009996476,0.655208049636753
"34",33,0.654341578513753,0.644262804589006,0.662952037688891
"35",34,0.661305775449827,0.651047171680109,0.669927396154961
"36",35,0.668127593699883,0.657390808602047,0.676600812302794
"37",36,0.674971989717583,0.664031314172123,0.683409508004884
"38",37,0.682024493243857,0.671080119754537,0.690616238367984
"39",38,0.689066004043966,0.678016665352633,0.697690415878422
"40",39,0.695461938372981,0.684495589968679,0.704245900201337
"41",40,0.702212844632644,0.690965547210799,0.71094234630145
"42",41,0.708442836711936,0.697204198532597,0.716619925714967
"43",42,0.716447114971497,0.705534221648186,0.724802650229418
"44",43,0.723551888909157,0.712465394981479,0.732089396158698
"45",44,0.730495371525787,0.719391377123094,0.73873916950717
"46",45,0.737616278476642,0.726918398823067,0.745955847711567
"47",46,0.743614302476294,0.732695114366325,0.752077469815951
"48",47,0.750453624704614,0.740070642592752,0.759334125970252
"49",48,0.756825590510569,0.746351642239293,0.766035130788023
"50",49,0.764287809124421,0.753560251036647,0.773753916842306
"51",50,0.770885252256867,0.759753875806308,0.780715248104614
"52",51,0.77538800918997,0.764181675771558,0.785395267254047
"53",52,0.780031213967178,0.768870217680048,0.789706360549164
"54",53,0.78420557982997,0.773115347683203,0.7943436293396
"55",54,0.790952901027659,0.779616927707118,0.801055086243123
"56",55,0.795624985392789,0.784798856505129,0.805430000582033
"57",56,0.800725554785074,0.789469852504596,0.810243868554598
"58",57,0.80726310850151,0.796216181726402,0.817183696342204
"59",58,0.812156144979625,0.801370782300055,0.821403297460878
"60",59,0.818248546242556,0.806558306559868,0.827926656238499
"61",60,0.824837607013751,0.813362791516531,0.834769257134643
"62",61,0.830368549701921,0.818712448492067,0.840382172557735
"63",62,0.83436293257442,0.822227397081939,0.844445057651733
"64",63,0.83806144585065,0.826016047093606,0.847810996650188
"65",64,0.841440909052122,0.829958972805096,0.850697288380082
"66",65,0.844956138401308,0.83385429895343,0.854116721940259
"67",66,0.84752177242848,0.836267028470144,0.85702587272676
"68",67,0.850241736582863,0.838736971537092,0.859783006010664
"69",68,0.852648060025718,0.841043203357973,0.862200791202411
"70",69,0.854975753296174,0.843261889036529,0.864907505147847
"71",70,0.856766515752138,0.845128328510792,0.866554715799597
"72",71,0.858865574921648,0.847327428299408,0.868481126286491
"73",72,0.860503821574432,0.848863298977642,0.869826988125484
"74",73,0.862224360729906,0.850441924741165,0.87205084487857
"75",74,0.86466409598964,0.852241801857576,0.874487458087765
"76",75,0.866400990836557,0.853733004078167,0.876675186752881
"77",76,0.868643847879043,0.856076102212648,0.878977366082912
"78",77,0.869778902572244,0.857166383960268,0.880158795114398
"79",78,0.871410391161896,0.858769665871163,0.881664976779368
"80",79,0.872917657331081,0.860331014077994,0.883311076432664
"81",80,0.874119674504305,0.861798931941856,0.884323168281189
"82",81,0.876143956864169,0.864159727082067,0.886016842600924
"83",82,0.878079728644966,0.865727437240516,0.88835934015495
"84",83,0.879614091089783,0.867155704061341,0.889920996731421
"85",84,0.880863250126534,0.868190546065189,0.891261613913176
"86",85,0.882866603250347,0.870273982505048,0.89349826604114
"87",86,0.883550181793974,0.870978368646162,0.894261255146068
"88",87,0.884662794064857,0.872322425860556,0.895242878389773
"89",88,0.886454601250061,0.873644378637671,0.897458148883423
"90",89,0.887131449185202,0.874185260495628,0.89823157213908
"91",90,0.888826267490941,0.876211498275133,0.899887211190796
"92",91,0.889994662902118,0.877630765624121,0.900841743815243
"93",92,0.893972826035063,0.881235260053446,0.90571787379845
"94",93,0.894695630209362,0.88193705238102,0.906247449475031
"95",94,0.896051169741737,0.88321301374898,0.907930433888594
"96",95,0.897123730310866,0.884422314087054,0.909147193077112
"97",96,0.899535297905818,0.887984963123459,0.911032202783399
"98",97,0.900955139746621,0.889619747972592,0.911994565331684
"99",98,0.903004632007623,0.891821652232187,0.913876986231946
"100",99,0.904127347129371,0.892938876953989,0.914673835010495
"101",100,0.905299116582374,0.894125572129231,0.91580874278601
"102",101,0.906090222224643,0.894874774774689,0.916503110474358
"103",102,0.907436723254384,0.896289357533232,0.917493305205393
"104",103,0.909053836036699,0.898325487563206,0.918551403375538
"105",104,0.91365737647285,0.903285782963418,0.921657788303763
"106",105,0.91451543401979,0.904097947604671,0.922581217887903
"107",106,0.916901242963506,0.906019536213825,0.926455410017445
"108",107,0.917648904317058,0.9069885767613,0.926908016014429
"109",108,0.918743725998044,0.908169024862063,0.927611055790756
"110",109,0.925768171499884,0.915419239838881,0.934088577600433
"111",110,0.926768748218318,0.916257066608487,0.935158522542457
"112",111,0.949265904354928,0.945048445414214,0.952275881519558
"113",112,0.953882505495417,0.94946495584132,0.956762410027607
"114",113,0.955151134699619,0.950467739121015,0.958150730037563
"115",114,0.956858248422158,0.952088293991736,0.959662473252852
"116",115,0.957667480035276,0.95312500884662,0.960442237550432
"117",116,0.963005508455961,0.95889751710776,0.966115752198095
"118",117,0.973421651625274,0.969079716179242,0.976480223621552
"119",118,0.973785785368572,0.969414846859611,0.976874522738618
"120",119,0.983275556099491,0.979970809446732,0.985609321373888
"121",120,0.984096073143918,0.980593576270183,0.986633765653831
"122",121,0.986561826528478,0.98324277313646,0.988982380331126
"123",122,0.991792715749282,0.989248068055987,0.993777885743186
"124",123,0.994354422536187,0.992262293455357,0.995831849057827
"125",124,1,0.999999999999999,1
